host,variant,run,rule,real_F1,reproduced,chosen_mask,chosen_tau,chosen_lambda
SimulatedUbuntu,TGN_fullz,1,outlier_zscore,1.0,True,,,
SimulatedUbuntu,TGN_fullz,1,outlier_iqr,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,default_tau10,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,minor_tau1,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,significant_tau100,0.0,True,,,
SimulatedUbuntu,TGN_fullz,2,critical_tau1000,0.0,True,,,
SimulatedUbuntu,TGN_fullz,2,mask_FILE_tau10,0.0,True,,,
SimulatedUbuntu,TGN_fullz,2,mask_NET_tau10,0.0,True,,,
SimulatedUbuntu,TGN_fullz,2,mask_PROCESS_tau10,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,mask_PROCESS_tau1,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,oracle_prefix,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,topk5,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,topk10,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,topk15,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,topk20,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,outlier_grubbs,1.0,True,,,
SimulatedUbuntu,TGN_fullz,2,outlier_zscore,0.875,True,,,
SimulatedUbuntu,TGN_fullz,2,outlier_iqr,1.0,True,,,
SimulatedUbuntu,TGN_fullz,0,loocv_tau,1.0,True,,2.0,
SimulatedUbuntu,TGN_fullz,0,loocv_mask,1.0,True,PROCESS,1.0,
SimulatedUbuntu,TGN_fullz,0,loocv_lambda,1.0,True,PROCESS,1.0,0.0
SimulatedUbuntu,TGN_fullz,1,loocv_tau,1.0,True,,1.61122487,
SimulatedUbuntu,TGN_fullz,1,loocv_mask,1.0,True,PROCESS,1.0,
SimulatedUbuntu,TGN_fullz,1,loocv_lambda,1.0,True,PROCESS,1.0,0.0
SimulatedUbuntu,TGN_fullz,2,loocv_tau,1.0,True,,1.61122487,
SimulatedUbuntu,TGN_fullz,2,loocv_mask,1.0,True,PROCESS,1.0,
SimulatedUbuntu,TGN_fullz,2,loocv_lambda,1.0,True,PROCESS,1.0,0.0
SimulatedUbuntu,released,0,default_tau10,0.973,True,,,
SimulatedUbuntu,released,0,minor_tau1,0.9,True,,,
SimulatedUbuntu,released,0,significant_tau100,0.0,True,,,
SimulatedUbuntu,released,0,critical_tau1000,0.0,True,,,
SimulatedUbuntu,released,0,mask_FILE_tau10,0.0,True,,,
SimulatedUbuntu,released,0,mask_NET_tau10,0.0,True,,,
SimulatedUbuntu,released,0,mask_PROCESS_tau10,1.0,True,,,
SimulatedUbuntu,released,0,mask_PROCESS_tau1,0.973,True,,,
SimulatedUbuntu,released,0,oracle_prefix,0.973,True,,,
SimulatedUbuntu,released,0,topk5,0.973,True,,,
SimulatedUbuntu,released,0,topk10,0.973,True,,,
SimulatedUbuntu,released,0,topk15,0.9,True,,,
SimulatedUbuntu,released,0,topk20,0.9,True,,,
SimulatedUbuntu,released,0,outlier_grubbs,0.973,True,,,
SimulatedUbuntu,released,0,outlier_zscore,0.0,True,,,
SimulatedUbuntu,released,0,outlier_iqr,0.973,True,,,
SimulatedW10,fullz,0,default_tau10,0.9969,True,,,
SimulatedW10,fullz,0,minor_tau1,0.9415,True,,,
SimulatedW10,fullz,0,significant_tau100,0.0,True,,,
SimulatedW10,fullz,0,critical_tau1000,0.0,True,,,
SimulatedW10,fullz,0,mask_FILE_tau10,0.0,True,,,
SimulatedW10,fullz,0,mask_NET_tau10,0.0,True,,,
SimulatedW10,fullz,0,mask_PROCESS_tau10,0.9969,True,,,
SimulatedW10,fullz,0,mask_PROCESS_tau1,0.9728,True,,,
SimulatedW10,fullz,0,oracle_prefix,0.9969,True,,,
SimulatedW10,fullz,0,topk5,0.9787,True,,,
SimulatedW10,fullz,0,topk10,0.9415,True,,,
SimulatedW10,fullz,0,topk15,0.9415,True,,,
SimulatedW10,fullz,0,topk20,0.9415,True,,,
SimulatedW10,fullz,0,outlier_grubbs,0.9969,True,,,
SimulatedW10,fullz,0,outlier_zscore,0.9969,True,,,
SimulatedW10,fullz,0,outlier_iqr,0.9969,True,,,
SimulatedW10,fullz,1,default_tau10,0.9969,True,,,
SimulatedW10,fullz,1,minor_tau1,0.9499,True,,,
SimulatedW10,fullz,1,significant_tau100,0.0,True,,,
SimulatedW10,fullz,1,critical_tau1000,0.0,True,,,
SimulatedW10,fullz,1,mask_FILE_tau10,0.0,True,,,
SimulatedW10,fullz,1,mask_NET_tau10,0.0,True,,,
SimulatedW10,fullz,1,mask_PROCESS_tau10,0.9969,True,,,
SimulatedW10,fullz,1,mask_PROCESS_tau1,0.9938,True,,,
SimulatedW10,fullz,1,oracle_prefix,0.9969,True,,,
SimulatedW10,fullz,1,topk5,0.9847,True,,,
SimulatedW10,fullz,1,topk10,0.9499,True,,,
SimulatedW10,fullz,1,topk15,0.9499,True,,,
SimulatedW10,fullz,1,topk20,0.9499,True,,,
SimulatedW10,fullz,1,outlier_grubbs,0.9969,True,,,
SimulatedW10,fullz,1,outlier_zscore,0.9969,True,,,
SimulatedW10,fullz,1,outlier_iqr,0.9969,True,,,
SimulatedW10,fullz,2,default_tau10,0.9969,True,,,
SimulatedW10,fullz,2,minor_tau1,0.9471,True,,,
SimulatedW10,fullz,2,significant_tau100,0.0,True,,,
SimulatedW10,fullz,2,critical_tau1000,0.0,True,,,
SimulatedW10,fullz,2,mask_FILE_tau10,0.0,True,,,
SimulatedW10,fullz,2,mask_NET_tau10,0.0,True,,,
SimulatedW10,fullz,2,mask_PROCESS_tau10,0.9969,True,,,
SimulatedW10,fullz,2,mask_PROCESS_tau1,0.9908,True,,,
SimulatedW10,fullz,2,oracle_prefix,0.9969,True,,,
SimulatedW10,fullz,2,topk5,0.9847,True,,,
SimulatedW10,fullz,2,topk10,0.9388,True,,,
SimulatedW10,fullz,2,topk15,0.9388,True,,,
SimulatedW10,fullz,2,topk20,0.9388,True,,,
SimulatedW10,fullz,2,outlier_grubbs,0.9969,True,,,
SimulatedW10,fullz,2,outlier_zscore,0.9969,True,,,
SimulatedW10,fullz,2,outlier_iqr,0.9969,True,,,
SimulatedW10,fullz,0,loocv_tau,0.9969,True,,2.53762922,
SimulatedW10,fullz,0,loocv_mask,0.9877,True,PROCESS,1.161784704,
SimulatedW10,fullz,0,loocv_lambda,0.9877,True,PROCESS,1.161784704,0.0
SimulatedW10,fullz,1,loocv_tau,0.9969,True,,2.53762922,
SimulatedW10,fullz,1,loocv_mask,0.9969,True,PROCESS,1.4335935,
SimulatedW10,fullz,1,loocv_lambda,0.9969,True,PROCESS,1.4335935,0.0
SimulatedW10,fullz,2,loocv_tau,0.9908,True,,2.22764512,
SimulatedW10,fullz,2,loocv_mask,0.9969,True,PROCESS,1.4335935,
SimulatedW10,fullz,2,loocv_lambda,0.9969,True,PROCESS,1.4335935,0.0
SimulatedW10,TGN_fullz,0,default_tau10,0.9969,True,,,
SimulatedW10,TGN_fullz,0,minor_tau1,0.936,True,,,
SimulatedW10,TGN_fullz,0,significant_tau100,0.0,True,,,
SimulatedW10,TGN_fullz,0,critical_tau1000,0.0,True,,,
SimulatedW10,TGN_fullz,0,mask_FILE_tau10,0.0,True,,,
SimulatedW10,TGN_fullz,0,mask_NET_tau10,0.0,True,,,
SimulatedW10,TGN_fullz,0,mask_PROCESS_tau10,0.9969,True,,,
SimulatedW10,TGN_fullz,0,mask_PROCESS_tau1,0.9583,True,,,
SimulatedW10,TGN_fullz,0,oracle_prefix,0.9969,True,,,
SimulatedW10,TGN_fullz,0,topk5,0.9758,True,,,
SimulatedW10,TGN_fullz,0,topk10,0.9415,True,,,
SimulatedW10,TGN_fullz,0,topk15,0.936,True,,,
SimulatedW10,TGN_fullz,0,topk20,0.936,True,,,
SimulatedW10,TGN_fullz,0,outlier_grubbs,0.9969,True,,,
SimulatedW10,TGN_fullz,0,outlier_zscore,0.9969,True,,,
SimulatedW10,TGN_fullz,0,outlier_iqr,0.9969,True,,,
SimulatedW10,TGN_fullz,1,default_tau10,0.9969,True,,,
